"time" "0.150" "0.20" "0.250" "0.30" "0.350" "0.40" "0.450" "0.50" "0.550" "0.60" "0.650" "0.70" "0.750" "0.80" "0.850" "0.90"
0 1.36164615028786e-09 5.16389545641405e-10 9.65680574115956e-10 -1.41991063168175e-09 6.73876310649673e-10 -1.77845201994241e-10 8.17549856085512e-10 8.82600483141042e-10 9.99852230674218e-10 1.24720523231894e-09 1.52346962376601e-09 1.094215794613e-09 9.3038458573203e-10 2.61005602384920e-11 -2.97546386718598e-10 1.22552168996712e-09
0.05 1.02033113178456e-09 9.58091334292806e-10 2.61804681075247e-09 -2.47393156352789e-10 6.93953664679282e-10 5.90675755550985e-11 -8.28793174342089e-10 -2.01576634456968e-10 6.38459858141235e-10 4.03956363075942e-10 1.38132195724009e-10 3.71431049547985e-10 2.47754548725014e-10 9.8981355365948e-10 1.71018901624141e-09 1.28575375205613e-09
0.1 2.97546386718756e-10 -2.56990131578939e-11 -4.01547080543573e-14 -9.78208843030449e-10 -1.03872198807566e-09 1.11513639751234e-09 -2.0639519942439e-10 3.60589278372035e-10 4.37686317845215e-10 7.8542608963795e-10 -2.23260176808974e-10 1.29498933491e-09 4.08373380962031e-10 2.26874100534485e-10 9.87404271176424e-10 1.54675935444113e-09
0.15 -6.46089252672744e-10 1.01832339638161e-09 1.18452373303864e-09 8.46822638260691e-10 2.06073961759873e-10 -5.75376811780422e-10 7.3724043996711e-10 -8.03094160961414e-13 9.19542814556212e-10 9.25967567845942e-10 2.56749203330601e-09 -1.77684583162001e-09 1.21146754214603e-09 -1.40541478205107e-11 7.665533768504e-10 -3.40511924341872e-10
0.2 1.18094996402136e-09 -5.27632863897994e-10 7.02667236328126e-10 -1.98207654451065e-09 -5.4931640624998e-11 4.80692010176809e-10 1.34919819078913e-10 1.26407020970404e-09 6.78614566200211e-10 -2.38518965872045e-10 1.98364257813016e-10 9.7375167043599e-10 -2.14024593955979e-10 1.35120592619249e-09 6.3845985814412e-11 8.03094161133467e-13
0.25 -1.95111726459704e-09 2.63414884868407e-10 1.00346615439965e-10 -6.77048532586349e-10 3.86770148026313e-10 1.15284166837989e-10 1.15886487458882e-09 1.28414756373304e-09 3.37299547697232e-10 1.28735994037795e-09 1.78286903783012e-10 -9.03480931330075e-11 8.09920461554016e-10 -4.15601228412523e-10 -2.77469032689599e-10 5.83046361020114e-10
0.3 1.06048583984376e-09 4.36080129523006e-10 1.02354350842925e-10 -1.9519203587582e-10 6.33721602590463e-10 4.52583714535358e-10 3.15616005345411e-10 -2.08804481909657e-11 1.08016164679323e-09 -2.78673673931048e-10 2.04548082853601e-09 -3.01160310440006e-11 1.15123548005803e-09 6.48498535156475e-10 8.26785438939407e-10 -7.42059004933884e-10
0.35 -1.34879664370884e-09 -6.28019634046093e-10 -9.23598440069934e-10 6.8821154142681e-10 -4.48447779605257e-10 1.80579737613076e-09 7.5731779399671e-10 1.66561729029604e-09 2.77067485608225e-10 -1.18054841694058e-10 2.18441611842014e-10 1.75676847758998e-09 -8.76577276932965e-10 -4.15601228412523e-10 5.65779836554407e-10 7.23587839227126e-10
0.4 2.04427618729446e-09 -6.07942280016495e-10 2.87066007915295e-10 5.5770874023437e-10 9.67005679481913e-10 -7.38003379420231e-10 -1.46163137335489e-10 3.60589278372035e-10 2.56990131579227e-10 7.05116673519945e-10 1.64393374794402e-09 -5.52127235814e-10 1.37208637438302e-09 -7.36838892886503e-10 -9.67728464225782e-11 -3.20434570312873e-10
0.45 6.79016113281261e-10 1.14842465049305e-10 -2.69076698704774e-10 1.59169247275904e-09 -7.50089946546069e-11 5.30885395250828e-10 -1.46163137335489e-10 -4.82659590871958e-10 7.99078690378225e-10 -1.7668071546048e-11 -4.84265779193974e-10 1.39537610505801e-09 6.82630037001828e-12 1.55197946648848e-09 1.30864193564943e-09 -4.81053402548884e-10
0.5 -1.06771368729444e-09 -1.95312499999999e-09 -7.91087903474534e-10 -6.54963443153789e-10 -7.61654502467097e-10 1.40826576634457e-09 8.57704564144713e-10 1.22391550164504e-09 1.06008429276322e-09 9.86199629933943e-10 -4.25639905429854e-11 1.70657509251992e-10 1.67445132607035e-10 6.62552682974948e-11 1.04000693873415e-10 3.0196340460511e-10
0.55 7.99480237458858e-10 1.95151881167806e-10 7.82976652446545e-10 1.21022274619654e-09 -2.99875359786177e-10 -1.65553845857319e-09 -1.86317845394691e-10 -5.42891652960965e-10 1.14039370888123e-09 7.65348735608952e-10 1.30261872944102e-09 -1.917387309827e-09 1.29177695826501e-09 1.05004561574849e-09 6.3845985814412e-11 1.06490285773013e-09
0.6 -7.2639866879114e-10 4.76234837582206e-10 1.20423969469576e-10 -6.77048532586349e-10 -2.51689710115137e-10 1.77768908048931e-09 -1.25041760896379e-09 4.60976048520031e-10 -6.26413445723783e-10 -3.38905736020055e-10 1.26246402138201e-09 -1.50580155222015e-10 -3.33284076889844e-11 -9.43635639395219e-11 1.81057578638942e-09 2.41731342516129e-10
0.65 5.58551989103657e-10 5.56544253700706e-10 5.82203112150496e-10 -6.71025326377459e-10 5.25303890830593e-10 9.60540771484378e-10 6.56931023848714e-10 1.58530787417804e-09 1.40139931126623e-09 6.8503931948994e-10 1.38132195724009e-10 6.12359297903007e-10 8.50075169614025e-10 -7.16761538856526e-10 -3.97933156866581e-10 -2.60202508223866e-10
0.7 5.58551989103657e-10 3.55770713404605e-10 3.17182038959706e-10 9.39218621504905e-11 -4.16324013157897e-10 -8.12289589329771e-10 -2.26472553453984e-10 -8.44051963404968e-10 -4.25639905427763e-10 -6.40066046464057e-10 1.46323756167801e-09 -5.01933850740048e-11 -1.7386988589597e-10 1.21066444798548e-09 1.04763633326443e-09 -1.72584935238488e-09
0.75 -5.45702482524641e-10 -9.89412006578993e-10 -1.31711457905014e-09 -5.7666176243832e-10 -3.88215717516447e-10 3.96367123252458e-10 1.01832339638161e-09 1.04321931537803e-09 5.58150442023229e-10 2.43337530838952e-10 -3.83879009045991e-10 2.50966925369998e-10 -1.53792531866972e-10 2.61005602384920e-11 4.4531571237642e-10 8.23974609375109e-10
0.8 7.19170821340462e-10 1.48010253906251e-09 1.88686973170225e-10 1.6017713044819e-10 1.71789872018915e-09 -5.55299457750821e-10 -1.26085783305889e-10 -5.62969006989964e-10 3.37299547697232e-10 8.05503443667954e-10 1.12192254317402e-09 -1.17452521073201e-09 3.68218672903028e-10 4.61779142684963e-11 -2.04427618729459e-09 1.54675935444113e-09
0.85 -6.86243960731938e-10 -5.62165912829327e-12 9.19502659847865e-10 6.25971743935031e-10 -1.12907008120888e-09 6.85481021278779e-10 -5.00488281249999e-09 9.42832545230036e-10 -9.67728464226788e-10 -3.77454255760523e-11 -1.42950760690995e-10 1.656381707442e-09 4.88682797081015e-10 1.4114379882815e-09 2.36912777554093e-11 4.62582236842126e-10
0.9 -3.04774234169441e-10 -1.26085783305894e-10 4.25599750719565e-10 -2.05190558182598e-11 -2.10282175164476e-09 -1.37646323756167e-09 -8.89025236430884e-10 1.39738384046038e-10 4.5776367187522e-10 4.44111071134945e-10 5.5975663034502e-10 -6.32436651933012e-10 -9.16731984991967e-10 1.66642038445478e-10 -4.9831992701459e-10 1.66722347861811e-09
0.95 8.39634945518059e-10 1.13878752055921e-09 7.22744590357725e-10 1.19014539216694e-09 2.50244140624993e-10 1.39376991673518e-10 1.21909693667761e-09 -1.14521227384896e-09 -7.26800215871766e-10 -1.5820954975306e-10 7.2037546258201e-10 1.033983732525e-09 1.87522486637013e-10 2.46951454564489e-10 -4.38087864925584e-10 -6.61749588815879e-10
1 -5.85857190583843e-10 7.46877569901059e-11 -2.46955470034954e-09 -1.31952386153375e-09 -8.45979389391447e-10 4.86715216385688e-10 5.76621607730212e-10 9.42832545230036e-10 3.77454255756235e-10 4.64188425164949e-10 1.78286903783012e-10 6.12359297903007e-10 -3.14411364103989e-10 -5.56142706620515e-10 4.05161004317417e-10 2.08884791324013e-09
1.05 1.34156879625826e-09 2.55383943256606e-10 4.81816342002466e-10 2.5454069438734e-10 1.15372507195723e-09 -2.41245470548931e-09 1.03840075041121e-09 -6.83433131167965e-10 1.9675806949022e-10 9.4604492187494e-10 1.26246402138201e-09 -1.315066688939e-09 6.29224275288028e-10 -9.17535079152518e-10 -5.18397281044595e-10 -1.59815738075883e-10
1.1 -1.04763633326484e-09 1.27932899876641e-09 3.99499190481086e-10 1.7924660130551e-09 1.52314838610197e-09 -3.44487240439962e-10 -6.07942280016489e-10 -1.01189864308958e-10 -4.01547080577322e-12 -1.20223195929306e-09 1.32269608347002e-09 8.13132838199e-10 3.68218672903028e-10 9.29581491570473e-10 1.26848722759042e-09 -4.40898694489882e-10
1.15 -1.04000693873342e-10 5.36466899671006e-10 -1.40545493678043e-09 -9.3805413497125e-10 -1.23949552837171e-09 4.62622391550169e-10 9.58091334292816e-10 4.4089869449004e-10 1.08016164679323e-09 2.01014468544394e-09 -1.42950760690995e-10 1.27491198087999e-09 -9.35604697779649e-11 -5.96297414679517e-10 1.44155401932417e-10 5.83046361020114e-10
